# SIMULATED ACADEMIC DATA - FOR PLATFORM SIMULATION AND TESTING ONLY
donor_type,food_category,meal_type,day_of_week,event_type,prepared_quantity,expected_people,actual_people,previous_surplus,preparation_time,surplus_quantity
caterer,other,all_day,0,corporate,34.88,45,34,4.6,4.57,7.62
restaurant,bakery,dinner,6,wedding,315.85,444,338,14.9,4.93,92.64
caterer,bakery,snack,0,none,310.09,704,681,16.9,5.27,21.78
supermarket,cooked_meals,breakfast,4,weekend_rush,35.54,82,69,3.29,7.61,7.04
hotel,cooked_meals,dinner,3,wedding,394.58,812,612,22.47,7.22,149.29
supermarket,cooked_meals,all_day,4,holiday,99.73,125,84,14.28,2.44,47.03
hotel,other,dinner,5,weekend_rush,124.12,206,156,12.65,3.46,44.22
other,meat_poultry,dinner,6,none,23.16,29,25,2.94,2.41,3.33
caterer,other,dinner,6,weekend_rush,93.96,145,126,1.49,2.32,17.23
supermarket,dairy,all_day,0,none,341.43,438,438,2.65,7.41,1.79
hotel,bakery,dinner,5,none,382.91,639,555,27.41,6.48,58.6
hotel,bakery,snack,3,none,49.57,82,68,5.69,7.68,10.1
other,meat_poultry,dinner,4,none,82.82,106,84,9.29,1.64,26.77
supermarket,bakery,snack,0,holiday,353.94,526,347,39.18,1.9,126.87
other,fresh_produce,breakfast,4,none,107.56,154,169,16.11,1.5,0.0
hotel,cooked_meals,all_day,2,weekend_rush,392.11,592,523,57.17,2.0,73.19
hotel,dairy,lunch,0,corporate,159.33,201,175,16.23,6.83,25.7
other,fresh_produce,breakfast,6,none,265.45,334,333,19.25,3.32,3.83
supermarket,other,all_day,1,none,214.18,464,451,26.55,1.3,8.53
supermarket,fresh_produce,lunch,3,corporate,25.86,35,31,2.34,3.97,0.75
hotel,meat_poultry,dinner,4,corporate,264.52,371,191,12.96,6.3,163.03
restaurant,other,dinner,4,none,145.52,216,216,5.94,1.62,0.0
supermarket,other,lunch,1,none,300.75,620,592,35.77,6.63,13.23
caterer,other,lunch,1,none,48.19,60,46,6.07,6.65,24.63
caterer,meat_poultry,lunch,5,weekend_rush,105.44,179,158,6.38,3.62,16.55
other,bakery,dinner,4,none,395.76,554,425,27.58,7.27,108.77
caterer,meat_poultry,lunch,3,none,20.46,31,28,0.27,3.19,0.15
other,fresh_produce,all_day,4,wedding,294.03,585,489,11.32,1.71,53.12
other,meat_poultry,breakfast,4,wedding,347.23,584,574,31.93,4.72,4.57
hotel,meat_poultry,breakfast,4,holiday,242.69,341,162,14.04,6.45,163.18
supermarket,other,all_day,0,none,69.47,88,79,6.19,3.41,6.94
other,meat_poultry,dinner,2,none,80.93,186,127,0.87,5.44,26.42
hotel,meat_poultry,dinner,4,holiday,262.71,473,395,27.41,4.07,57.89
caterer,bakery,dinner,2,none,167.6,230,126,21.78,7.23,104.86
hotel,dairy,breakfast,3,weekend_rush,266.71,616,422,34.39,7.58,111.37
hotel,fresh_produce,lunch,3,none,156.33,204,135,0.68,1.45,72.34
caterer,dairy,snack,4,none,294.33,406,276,29.95,6.35,122.48
other,other,breakfast,4,none,82.94,172,138,2.24,3.0,17.73
restaurant,fresh_produce,lunch,2,holiday,371.2,616,416,48.78,4.05,134.35
hotel,meat_poultry,snack,5,holiday,308.21,583,420,15.58,6.27,110.27
other,meat_poultry,lunch,5,corporate,304.16,544,353,29.18,2.21,111.58
caterer,fresh_produce,dinner,5,corporate,215.68,297,204,27.04,7.55,101.6
hotel,dairy,breakfast,2,corporate,37.37,77,50,0.28,5.27,20.56
supermarket,meat_poultry,lunch,5,none,47.48,68,60,0.6,7.33,6.18
restaurant,bakery,dinner,4,holiday,334.84,533,430,31.57,2.21,76.23
hotel,cooked_meals,snack,2,none,243.68,316,236,17.84,2.31,99.39
restaurant,other,lunch,5,none,305.01,648,597,7.92,1.38,25.21
other,fresh_produce,breakfast,4,none,352.34,725,685,22.19,5.29,20.27
caterer,fresh_produce,dinner,3,none,137.53,295,236,16.93,3.4,44.79
other,cooked_meals,lunch,5,corporate,253.36,525,369,26.41,4.01,94.37
supermarket,fresh_produce,lunch,5,weekend_rush,81.73,127,129,9.2,2.93,0.0
hotel,fresh_produce,dinner,1,none,42.06,61,57,3.04,5.18,7.08
other,cooked_meals,snack,0,none,398.42,845,747,24.75,5.3,59.6
restaurant,other,snack,3,weekend_rush,94.37,133,115,1.57,3.47,12.3
other,dairy,all_day,6,none,231.52,477,399,18.16,2.68,40.97
hotel,bakery,snack,6,corporate,226.25,289,211,16.69,6.62,79.07
caterer,bakery,dinner,2,none,99.0,137,130,4.96,7.72,18.81
other,cooked_meals,dinner,2,none,316.02,589,468,33.78,7.17,76.66
restaurant,bakery,lunch,3,weekend_rush,185.3,285,224,5.71,6.29,58.11
supermarket,other,breakfast,6,none,63.3,145,139,7.44,5.62,0.0
supermarket,cooked_meals,snack,5,none,181.63,318,287,9.22,2.38,25.27
supermarket,bakery,snack,6,none,238.28,328,266,34.59,7.97,49.42
supermarket,bakery,lunch,2,holiday,162.84,265,160,17.38,7.43,69.62
caterer,fresh_produce,dinner,3,none,143.5,229,187,1.59,3.0,37.88
hotel,meat_poultry,snack,1,none,362.56,531,427,6.01,6.81,99.16
supermarket,fresh_produce,all_day,4,none,249.27,604,543,4.51,1.84,21.53
restaurant,cooked_meals,snack,5,weekend_rush,21.33,51,47,0.3,2.66,4.79
hotel,other,all_day,6,none,211.24,274,239,22.45,1.44,38.47
restaurant,fresh_produce,dinner,0,corporate,89.82,148,86,0.08,4.25,42.15
caterer,dairy,lunch,5,none,48.48,109,83,6.31,3.57,14.71
restaurant,cooked_meals,dinner,3,holiday,93.69,189,116,13.98,6.15,49.03
other,dairy,snack,5,none,384.42,586,494,56.35,5.07,72.14
supermarket,cooked_meals,dinner,6,wedding,228.6,569,561,12.35,3.94,0.48
restaurant,bakery,breakfast,2,none,188.77,288,251,27.0,6.88,36.8
other,fresh_produce,breakfast,6,holiday,77.08,116,110,4.29,5.94,8.17
caterer,dairy,snack,4,none,322.69,626,434,27.13,7.4,122.91
other,meat_poultry,breakfast,0,holiday,378.89,860,507,20.25,2.34,166.61
supermarket,fresh_produce,all_day,2,none,57.63,81,85,8.43,7.04,0.92
hotel,meat_poultry,all_day,1,none,40.72,76,79,1.23,6.42,0.0
other,cooked_meals,breakfast,6,none,324.83,417,389,35.51,4.97,27.78
caterer,cooked_meals,dinner,6,wedding,36.49,85,86,0.94,4.95,0.0
caterer,meat_poultry,lunch,5,none,120.02,175,167,4.25,4.23,14.55
other,bakery,dinner,6,none,214.0,461,291,26.21,3.1,86.6
restaurant,other,lunch,5,none,88.22,196,111,1.31,3.23,44.99
other,cooked_meals,lunch,6,none,243.56,389,276,28.87,3.02,92.26
other,dairy,dinner,6,none,198.81,454,370,7.03,7.55,32.13
hotel,dairy,breakfast,5,none,236.15,378,415,0.17,4.56,0.0
restaurant,cooked_meals,dinner,3,none,267.04,350,296,19.48,2.47,60.21
restaurant,dairy,lunch,6,none,182.22,229,190,6.4,3.88,35.43
hotel,cooked_meals,snack,1,none,37.72,65,54,3.92,7.83,10.76
restaurant,bakery,all_day,2,none,148.62,265,246,2.7,2.91,3.42
caterer,dairy,lunch,5,holiday,337.68,806,582,9.33,3.01,121.34
hotel,dairy,dinner,2,corporate,384.34,515,430,34.67,5.99,76.9
hotel,cooked_meals,lunch,3,none,362.56,771,776,42.97,6.62,0.0
other,dairy,breakfast,5,none,379.08,519,469,51.83,3.66,41.82
supermarket,meat_poultry,lunch,0,wedding,277.64,368,378,7.38,4.25,0.0
caterer,meat_poultry,all_day,3,none,90.89,138,138,6.54,7.21,0.33
restaurant,cooked_meals,breakfast,2,none,190.0,286,250,9.3,7.73,28.59
other,dairy,lunch,0,none,359.54,463,459,2.98,6.67,0.0
caterer,cooked_meals,dinner,4,none,95.08,166,127,12.38,5.51,35.54
restaurant,other,snack,4,weekend_rush,351.6,677,632,18.78,3.61,18.43
caterer,meat_poultry,all_day,5,none,258.73,407,272,33.26,2.63,120.62
restaurant,bakery,lunch,5,wedding,310.34,715,617,20.76,3.16,48.77
caterer,fresh_produce,lunch,2,wedding,298.8,546,438,32.45,4.86,72.15
restaurant,cooked_meals,breakfast,1,none,126.27,196,176,13.15,6.37,27.15
caterer,dairy,breakfast,3,none,101.7,245,221,13.41,6.28,13.36
other,fresh_produce,all_day,1,none,291.58,526,496,30.0,4.92,21.79
restaurant,meat_poultry,all_day,4,none,384.77,720,574,21.83,6.23,93.18
hotel,bakery,all_day,1,none,335.95,706,534,8.67,3.94,120.14
hotel,fresh_produce,breakfast,2,none,44.59,64,64,2.98,1.36,0.0
supermarket,fresh_produce,dinner,4,weekend_rush,167.73,302,306,22.05,5.01,0.0
supermarket,dairy,dinner,1,holiday,240.26,540,425,17.93,7.61,44.72
other,cooked_meals,breakfast,4,holiday,32.85,58,29,3.51,2.72,23.42
restaurant,dairy,snack,1,none,273.4,354,359,35.05,2.36,3.34
caterer,meat_poultry,breakfast,6,none,376.48,478,388,6.9,7.12,99.96
caterer,dairy,snack,5,weekend_rush,173.62,311,279,6.56,3.62,14.42
other,other,lunch,1,none,352.05,836,720,30.76,4.87,52.03
hotel,other,dinner,1,none,224.54,309,243,6.36,6.31,54.92
caterer,fresh_produce,lunch,3,none,300.41,570,366,10.38,2.77,148.0
hotel,fresh_produce,lunch,2,wedding,128.52,194,152,19.19,3.8,46.35
caterer,meat_poultry,lunch,3,corporate,132.24,323,231,17.44,4.2,45.27
hotel,dairy,snack,4,none,376.91,794,688,1.04,2.04,56.4
other,dairy,lunch,2,none,231.79,306,291,25.96,1.77,11.27
restaurant,meat_poultry,snack,3,none,203.52,391,319,12.45,4.48,49.41
caterer,other,breakfast,2,none,375.71,493,274,14.92,2.55,215.79
hotel,meat_poultry,all_day,6,none,207.25,375,348,15.52,5.72,14.97
caterer,meat_poultry,lunch,0,none,244.45,309,318,2.59,6.41,0.0
restaurant,other,all_day,3,wedding,199.07,265,291,25.73,2.15,0.0
restaurant,dairy,breakfast,1,weekend_rush,232.24,422,365,10.98,7.59,40.04
supermarket,dairy,lunch,4,corporate,88.15,140,112,10.09,2.18,24.44
supermarket,cooked_meals,dinner,6,weekend_rush,130.86,266,195,9.8,4.32,44.17
supermarket,other,breakfast,6,corporate,176.94,384,314,5.61,4.9,30.71
hotel,fresh_produce,lunch,2,none,196.52,281,250,28.13,7.93,26.6
restaurant,bakery,all_day,5,weekend_rush,319.85,463,414,41.8,2.91,44.71
other,meat_poultry,all_day,0,weekend_rush,262.58,481,345,5.15,3.28,81.14
supermarket,cooked_meals,dinner,5,none,93.25,148,113,6.5,1.1,22.46
other,bakery,lunch,0,none,127.21,170,151,7.42,4.72,16.66
supermarket,cooked_meals,dinner,3,none,120.01,224,189,16.67,2.51,18.72
supermarket,cooked_meals,breakfast,0,corporate,52.21,74,66,4.92,6.34,10.76
caterer,meat_poultry,lunch,3,none,365.29,504,416,6.97,3.77,90.67
other,dairy,lunch,3,holiday,23.51,44,30,1.29,4.42,1.87
other,cooked_meals,snack,0,wedding,378.33,780,703,10.63,7.24,43.74
caterer,other,breakfast,6,wedding,397.3,711,636,27.63,6.16,54.3
caterer,fresh_produce,dinner,6,none,81.24,142,115,6.47,2.02,17.87
other,dairy,lunch,0,none,128.58,171,188,5.73,3.14,0.0
hotel,meat_poultry,all_day,4,none,363.48,870,664,35.68,4.69,106.24
other,meat_poultry,snack,0,weekend_rush,120.31,234,229,9.15,5.66,2.0
other,cooked_meals,snack,0,none,97.76,145,116,13.65,4.87,27.5
restaurant,dairy,dinner,1,weekend_rush,66.69,132,106,8.38,4.61,20.81
hotel,cooked_meals,breakfast,2,holiday,107.71,145,79,7.65,6.23,68.56
caterer,bakery,all_day,4,weekend_rush,100.94,228,160,9.48,3.91,39.81
other,meat_poultry,snack,3,corporate,29.13,44,30,4.37,3.36,5.47
restaurant,fresh_produce,breakfast,1,corporate,112.46,144,76,0.39,7.71,54.95
supermarket,fresh_produce,breakfast,2,corporate,52.96,118,84,5.89,3.35,16.39
restaurant,cooked_meals,dinner,0,corporate,390.4,615,542,40.15,5.8,61.38
supermarket,fresh_produce,dinner,2,none,302.78,430,420,1.83,6.33,15.27
supermarket,dairy,all_day,6,weekend_rush,164.05,406,376,2.53,1.54,9.78
caterer,other,dinner,6,none,347.57,610,525,39.12,1.51,66.79
hotel,dairy,dinner,1,none,320.36,417,283,47.17,6.82,123.71
supermarket,bakery,all_day,5,none,59.53,94,74,6.17,5.02,13.91
other,meat_poultry,dinner,2,none,207.68,343,294,15.25,4.42,27.18
hotel,cooked_meals,lunch,0,none,311.98,605,489,1.22,2.07,77.29
restaurant,other,dinner,0,none,148.38,344,226,4.97,6.93,48.48
other,other,breakfast,0,none,339.55,740,637,45.67,3.1,54.37
hotel,bakery,breakfast,5,none,124.6,167,157,7.16,5.41,15.88
restaurant,dairy,lunch,1,none,295.18,468,514,21.43,4.68,0.0
other,bakery,breakfast,3,none,160.57,219,193,0.38,3.03,17.12
supermarket,dairy,dinner,5,none,204.7,359,320,4.33,1.88,17.35
hotel,meat_poultry,snack,6,weekend_rush,117.95,202,173,13.38,4.65,15.5
restaurant,cooked_meals,lunch,4,none,139.81,329,259,14.79,4.76,48.81
hotel,bakery,dinner,5,wedding,270.8,525,497,35.46,3.87,21.14
restaurant,fresh_produce,lunch,6,holiday,336.31,504,235,19.52,5.78,213.45
supermarket,bakery,lunch,2,weekend_rush,25.16,46,42,2.6,6.8,0.55
restaurant,fresh_produce,snack,2,weekend_rush,158.73,272,207,5.55,7.51,47.4
caterer,bakery,dinner,6,none,205.95,283,219,17.45,4.28,64.88
restaurant,fresh_produce,lunch,5,wedding,194.05,260,220,3.47,1.56,32.74
hotel,fresh_produce,breakfast,2,none,286.57,360,269,23.19,4.62,82.94
supermarket,bakery,breakfast,5,none,58.59,85,67,8.58,7.57,12.55
supermarket,dairy,all_day,6,holiday,357.6,482,264,2.16,6.27,150.98
supermarket,bakery,snack,1,holiday,183.24,298,209,21.98,2.94,58.4
other,bakery,dinner,1,holiday,297.28,614,422,18.83,2.2,110.95
restaurant,bakery,snack,6,none,224.57,322,291,0.93,1.98,22.37
supermarket,cooked_meals,dinner,5,none,391.63,574,550,4.28,2.58,12.03
restaurant,meat_poultry,dinner,0,corporate,36.32,63,48,2.71,7.25,5.07
hotel,other,lunch,6,none,106.09,190,175,11.45,1.89,20.37
caterer,fresh_produce,lunch,1,none,76.37,186,123,10.16,3.88,45.25
supermarket,dairy,lunch,4,corporate,187.53,248,165,1.06,4.45,62.41
caterer,dairy,dinner,0,wedding,243.07,353,282,28.12,6.55,64.28
hotel,dairy,breakfast,2,weekend_rush,144.96,193,150,18.63,1.53,47.25
restaurant,dairy,dinner,6,weekend_rush,316.26,421,308,24.82,7.47,98.8
other,cooked_meals,dinner,2,none,207.12,436,351,10.57,5.18,60.93
hotel,bakery,breakfast,5,none,135.55,335,281,18.84,1.22,42.67
caterer,meat_poultry,snack,0,none,43.97,61,59,4.04,6.64,2.33
caterer,bakery,snack,4,none,252.96,388,278,7.49,7.66,110.58
other,cooked_meals,lunch,4,none,23.37,43,43,1.69,4.19,0.0
hotel,other,breakfast,1,none,184.45,339,225,6.88,6.85,72.55
supermarket,meat_poultry,all_day,2,holiday,208.72,337,192,11.66,3.6,83.1
supermarket,meat_poultry,breakfast,3,corporate,312.61,396,350,46.21,3.38,42.17
other,meat_poultry,dinner,5,none,357.86,448,334,52.25,2.84,90.84
other,bakery,lunch,1,none,275.46,346,298,9.89,2.31,46.8
caterer,other,lunch,2,wedding,141.11,210,194,15.91,3.31,16.66
other,bakery,dinner,6,none,198.0,262,201,27.74,6.3,53.45
restaurant,other,lunch,3,none,84.64,141,111,9.97,7.59,19.22
hotel,fresh_produce,breakfast,4,none,215.69,340,206,14.25,2.0,111.33
restaurant,dairy,all_day,0,wedding,111.0,148,158,3.06,2.99,0.0
supermarket,dairy,all_day,3,none,235.33,355,325,30.03,2.8,18.39
supermarket,fresh_produce,breakfast,4,holiday,308.29,481,390,31.44,2.84,56.68
restaurant,other,breakfast,5,corporate,355.84,523,458,8.97,2.15,37.36
hotel,cooked_meals,lunch,4,none,62.5,95,79,1.26,6.93,13.04
hotel,meat_poultry,lunch,6,none,204.2,278,264,8.32,6.38,10.67
supermarket,other,dinner,1,holiday,103.46,191,100,2.19,4.11,35.96
supermarket,bakery,breakfast,0,none,268.24,510,395,12.68,4.59,57.99
other,cooked_meals,dinner,3,wedding,222.25,314,272,11.14,7.17,44.57
supermarket,meat_poultry,all_day,6,none,151.63,199,170,10.08,3.12,20.22
hotel,fresh_produce,snack,4,none,173.86,371,317,5.46,5.39,35.65
supermarket,cooked_meals,all_day,1,none,316.29,708,632,14.59,4.92,38.4
hotel,other,snack,3,weekend_rush,161.14,220,174,15.89,2.35,38.6
other,fresh_produce,lunch,5,wedding,397.91,982,654,30.2,4.81,154.19
restaurant,dairy,lunch,3,none,175.29,416,444,3.53,7.53,0.0
hotel,cooked_meals,all_day,6,weekend_rush,151.3,275,283,15.85,2.07,0.0
supermarket,dairy,lunch,4,none,386.39,613,537,30.33,2.32,42.55
supermarket,bakery,breakfast,4,wedding,371.59,744,658,27.41,7.11,51.48
hotel,fresh_produce,all_day,1,corporate,29.51,46,31,2.29,7.87,12.02
other,cooked_meals,snack,6,none,378.82,671,516,53.21,7.72,117.07
hotel,dairy,all_day,0,none,70.6,127,71,4.81,6.0,47.86
caterer,other,dinner,6,holiday,130.18,274,110,15.8,7.58,95.04
caterer,cooked_meals,all_day,0,none,334.66,500,419,29.62,4.1,67.4
caterer,cooked_meals,dinner,3,none,333.35,458,373,24.11,4.39,100.33
restaurant,meat_poultry,breakfast,0,none,274.52,540,353,38.32,6.16,108.23
supermarket,dairy,breakfast,3,none,170.05,252,232,15.14,1.47,16.94
restaurant,dairy,lunch,4,none,197.96,265,160,25.01,2.99,87.95
other,meat_poultry,all_day,1,corporate,36.28,54,47,1.06,3.91,4.1
restaurant,fresh_produce,dinner,6,corporate,250.67,612,472,30.79,2.4,70.07
caterer,fresh_produce,breakfast,6,none,358.09,622,514,4.99,6.54,88.41
hotel,other,snack,1,none,242.76,316,299,6.92,5.56,15.2
supermarket,cooked_meals,breakfast,3,none,229.38,514,423,11.21,6.47,47.55
restaurant,meat_poultry,breakfast,3,corporate,214.93,309,198,30.17,4.21,106.02
caterer,dairy,all_day,0,weekend_rush,166.69,216,167,20.84,5.81,51.91
caterer,fresh_produce,dinner,6,none,67.28,125,109,3.03,5.0,8.94
restaurant,fresh_produce,all_day,6,none,351.52,659,529,12.75,4.76,79.25
hotel,fresh_produce,breakfast,4,corporate,184.03,345,153,13.61,2.46,128.41
supermarket,fresh_produce,lunch,1,none,97.99,144,140,14.56,3.62,7.8
restaurant,fresh_produce,breakfast,2,corporate,273.75,368,276,16.37,6.31,83.17
hotel,other,dinner,1,none,279.53,558,359,3.49,2.3,119.79
hotel,dairy,dinner,5,none,97.2,227,156,7.46,5.95,38.21
restaurant,bakery,all_day,6,none,313.79,713,626,22.95,3.56,50.87
restaurant,meat_poultry,all_day,2,none,369.16,573,521,48.11,3.9,47.16
supermarket,dairy,dinner,0,none,91.68,135,114,10.53,4.18,10.29
caterer,dairy,snack,4,none,302.27,644,528,6.84,1.09,69.36
hotel,meat_poultry,all_day,3,none,282.93,687,637,39.6,2.58,30.81
caterer,other,lunch,5,none,88.51,116,85,12.32,2.48,31.22
caterer,fresh_produce,dinner,1,none,250.16,457,377,5.14,7.55,57.46
caterer,meat_poultry,dinner,6,none,90.83,145,125,2.0,6.36,13.74
supermarket,bakery,dinner,3,none,102.34,140,114,9.16,4.98,21.67
hotel,fresh_produce,lunch,5,none,104.86,159,117,14.12,7.76,41.64
hotel,cooked_meals,all_day,5,none,124.0,244,179,13.23,3.93,54.53
hotel,bakery,all_day,3,corporate,376.58,845,476,11.92,4.53,229.83
restaurant,bakery,breakfast,6,none,146.71,254,279,6.57,2.11,0.0
other,dairy,snack,2,none,318.72,681,569,45.49,6.0,55.01
hotel,meat_poultry,snack,0,none,314.39,519,433,26.02,7.85,56.53
caterer,other,dinner,5,holiday,318.3,420,363,4.26,1.07,58.38
supermarket,dairy,all_day,2,none,253.82,318,276,35.57,3.04,26.98
restaurant,meat_poultry,lunch,4,holiday,99.56,192,127,9.54,3.84,35.4
restaurant,cooked_meals,snack,3,none,363.76,897,986,30.2,3.72,0.0
caterer,cooked_meals,dinner,1,weekend_rush,321.34,403,353,37.83,7.38,68.77
other,fresh_produce,breakfast,1,weekend_rush,157.74,342,257,7.5,5.27,34.67
supermarket,cooked_meals,dinner,6,none,324.06,493,359,22.65,5.46,102.68
caterer,bakery,dinner,3,corporate,175.56,314,195,4.06,3.5,92.37
restaurant,cooked_meals,all_day,1,wedding,162.6,291,302,9.8,4.36,0.0
restaurant,bakery,breakfast,4,holiday,285.1,421,186,9.35,5.38,189.33
hotel,bakery,snack,0,weekend_rush,353.16,760,832,23.01,3.35,0.0
other,bakery,dinner,6,none,126.01,244,247,12.64,3.59,0.0
caterer,dairy,lunch,0,none,264.83,566,507,37.23,5.1,40.29
restaurant,other,lunch,5,corporate,26.21,45,42,0.16,2.06,0.0
supermarket,other,all_day,6,none,234.4,477,259,13.41,6.36,96.21
restaurant,fresh_produce,lunch,0,none,357.11,850,780,21.51,2.31,40.61
supermarket,other,all_day,6,wedding,171.06,300,245,18.3,5.09,34.28
hotel,bakery,dinner,4,none,197.31,259,217,23.93,7.44,43.82
other,dairy,lunch,0,none,280.09,431,369,39.17,2.75,43.22
supermarket,dairy,dinner,5,corporate,231.59,307,171,5.26,3.8,91.69
restaurant,cooked_meals,lunch,1,corporate,258.02,446,334,2.96,5.65,81.33
supermarket,other,breakfast,0,weekend_rush,246.29,357,334,29.47,1.24,15.32
restaurant,other,snack,5,none,215.42,337,369,10.06,4.07,0.0
supermarket,dairy,lunch,0,none,83.24,109,105,11.48,5.92,0.55
restaurant,fresh_produce,breakfast,6,corporate,388.96,711,418,32.87,1.53,187.83
caterer,cooked_meals,breakfast,1,holiday,150.43,271,203,8.74,1.66,69.7
supermarket,cooked_meals,breakfast,3,none,150.44,222,224,9.19,3.73,0.0
other,meat_poultry,all_day,4,holiday,385.03,570,314,48.76,6.36,191.79
restaurant,other,dinner,0,holiday,59.95,110,72,4.75,3.02,22.47
caterer,meat_poultry,lunch,2,none,396.09,726,634,47.39,5.97,77.33
hotel,fresh_produce,snack,0,none,98.07,202,160,14.59,3.01,21.76
other,other,snack,3,wedding,161.12,207,164,4.07,3.76,37.77
restaurant,dairy,breakfast,1,none,325.8,424,370,39.0,2.5,52.18
caterer,other,lunch,3,none,382.66,550,465,25.47,5.62,75.96
restaurant,fresh_produce,dinner,0,none,209.83,418,360,27.08,7.89,38.94
restaurant,meat_poultry,lunch,3,none,32.1,48,32,0.57,3.04,16.44
caterer,bakery,breakfast,1,corporate,96.58,180,121,3.83,2.47,47.87
supermarket,meat_poultry,breakfast,2,none,234.16,337,308,10.85,4.82,13.94
other,cooked_meals,lunch,2,none,123.96,160,113,13.36,3.36,46.01
hotel,fresh_produce,all_day,3,holiday,62.83,105,69,5.97,2.16,27.21
restaurant,fresh_produce,snack,0,none,177.98,288,177,7.26,3.81,86.61
restaurant,meat_poultry,breakfast,6,none,297.06,593,505,16.77,3.11,51.53
hotel,other,lunch,0,wedding,330.69,535,478,30.57,5.8,41.99
restaurant,bakery,breakfast,4,holiday,135.94,214,132,0.19,1.03,65.83
other,dairy,dinner,0,wedding,228.83,320,260,20.14,5.24,39.66
supermarket,dairy,breakfast,4,none,65.31,115,126,5.77,4.85,0.0
other,fresh_produce,breakfast,6,none,344.84,861,783,20.78,1.5,41.85
restaurant,bakery,dinner,0,none,307.08,487,437,16.54,3.68,36.12
supermarket,bakery,lunch,6,none,34.82,49,45,2.82,5.93,5.27
other,dairy,all_day,0,none,56.35,135,97,3.25,7.37,15.97
hotel,fresh_produce,breakfast,3,none,64.48,158,140,0.62,1.95,6.69
hotel,fresh_produce,all_day,4,none,51.71,72,67,1.81,4.94,8.23
other,cooked_meals,lunch,1,corporate,169.45,246,153,6.51,7.15,77.16
supermarket,bakery,snack,1,holiday,79.73,164,102,1.46,4.46,29.73
supermarket,bakery,dinner,1,none,284.55,362,328,31.26,3.41,24.61
caterer,fresh_produce,breakfast,0,wedding,290.92,375,324,11.93,3.08,61.88
caterer,meat_poultry,all_day,3,corporate,133.65,230,158,18.07,4.47,56.85
other,dairy,dinner,3,none,195.78,305,319,0.96,2.95,0.0
caterer,cooked_meals,all_day,5,none,175.75,350,354,7.91,7.97,0.0
hotel,bakery,lunch,2,weekend_rush,243.48,484,457,29.21,7.48,20.79
supermarket,other,dinner,5,holiday,194.19,417,304,19.88,3.47,53.11
other,meat_poultry,snack,0,corporate,165.01,320,268,10.31,1.93,23.45
restaurant,meat_poultry,all_day,6,none,245.21,412,310,4.58,4.71,74.81
restaurant,dairy,snack,1,none,120.67,247,209,2.61,2.43,19.27
restaurant,cooked_meals,snack,6,corporate,320.09,724,579,27.64,6.76,91.31
restaurant,other,all_day,4,none,177.2,285,265,1.11,7.92,8.07
other,dairy,snack,3,holiday,29.71,52,38,1.26,7.14,6.84
hotel,meat_poultry,all_day,2,none,118.57,191,146,13.73,7.64,32.0
caterer,meat_poultry,dinner,0,none,379.42,874,830,12.61,4.1,35.26
caterer,bakery,snack,1,none,293.17,389,228,20.54,6.84,176.0
restaurant,other,breakfast,4,none,383.51,549,599,41.17,4.65,0.0
hotel,bakery,all_day,1,holiday,379.78,857,386,42.8,7.76,299.97
hotel,fresh_produce,lunch,5,none,101.55,212,157,10.26,3.04,33.18
restaurant,bakery,all_day,0,corporate,397.48,504,279,26.3,6.66,215.07
supermarket,cooked_meals,dinner,2,none,114.0,145,120,13.16,6.76,19.19
caterer,cooked_meals,lunch,3,none,77.01,123,104,3.0,5.87,15.21
hotel,fresh_produce,snack,1,corporate,219.74,338,207,11.67,7.98,115.39
supermarket,cooked_meals,snack,3,none,68.56,152,129,0.76,2.42,11.38
caterer,other,dinner,3,none,52.27,80,71,5.03,3.9,11.75
other,cooked_meals,snack,0,none,74.73,98,82,6.86,7.66,9.79
hotel,cooked_meals,snack,2,weekend_rush,207.63,373,265,20.1,1.31,90.72
restaurant,bakery,all_day,4,none,199.36,277,286,29.85,6.78,0.0
other,other,snack,4,none,132.89,269,220,7.51,4.55,29.28
caterer,fresh_produce,breakfast,5,corporate,98.73,212,173,6.69,1.78,30.07
hotel,cooked_meals,lunch,0,none,191.71,401,376,20.05,3.48,18.67
supermarket,bakery,lunch,2,none,372.19,545,510,24.16,6.45,20.56
restaurant,other,snack,3,none,81.33,200,165,5.1,6.61,20.71
other,meat_poultry,all_day,0,none,333.02,526,375,12.46,2.27,107.93
hotel,fresh_produce,lunch,3,corporate,355.83,527,430,44.48,3.43,86.84
other,bakery,all_day,2,wedding,397.74,646,621,45.62,6.45,20.56
supermarket,other,snack,0,none,251.94,498,450,20.61,2.71,15.92
hotel,fresh_produce,lunch,6,wedding,66.89,111,103,5.77,2.26,7.7
other,bakery,lunch,1,weekend_rush,51.76,70,68,5.55,4.89,6.85
supermarket,fresh_produce,lunch,3,corporate,210.39,327,273,13.89,3.73,31.92
restaurant,dairy,all_day,4,none,148.72,263,242,22.22,6.16,12.6
hotel,bakery,dinner,2,none,318.98,414,402,45.73,5.06,17.01
other,cooked_meals,lunch,5,none,235.39,304,238,18.48,7.19,60.43
other,other,snack,2,holiday,196.24,415,330,9.43,2.37,41.18
other,fresh_produce,snack,4,weekend_rush,56.97,113,80,2.68,5.91,24.33
other,fresh_produce,breakfast,3,holiday,104.62,235,156,13.52,6.92,48.68
hotel,bakery,all_day,4,none,208.35,514,450,11.67,6.49,31.95
